選択,1.0,F1412,北海道産業論C（後半8週）／Hokkaido Industry Studies C
選択,2.0,F1558,環境経済論／Environment and Economy
選択,2.0,F1559,基本的人権論／Theory of Fundamental Human rights
選択,2.0,F1560,地方自治論／Local Autonomy
選択,2.0,F1561,感性の科学／Science of sensibility
選択,2.0,F1562,国際文化論
必修,1.0,F1401,地域社会概論(前半８週)／introduction of regional issues
必修,1.0,F1073,英語コミュニケーションⅠ（Mクラス）／English Communication I
必修,1.0,F1074,英語コミュニケーションⅠ（Nクラス）／English Communication I
必修,1.0,F1075,英語コミュニケーションⅠ（Oクラス）／English Communication I
必修,1.0,F1076,英語コミュニケーションⅠ（Pクラス）／English Communication I
選択,1.0,F1406,胆振学入門（前半８週、Bクラス）／Introduction to Iburiology
選択,1.0,F1408,胆振学入門（後半８週、Dクラス）／Introduction to Iburiology
選択,1.0,F1551,日本語Ｄ-１
選択,1.0,F1038,ドイツ語（Dクラス）／German
必修,1.0,F1065,英語コミュニケーションⅠ（Eクラス）／English Communication I
必修,1.0,F1066,英語コミュニケーションⅠ（Fクラス）／English Communication I
必修,1.0,F1067,英語コミュニケーションⅠ（Gクラス）／English Communication I
必修,1.0,F1068,英語コミュニケーションⅠ（Hクラス）／English Communication I
選択,1.0,F1035,ドイツ語（Ａクラス）／German
選択,1.0,F1413,インター･テクノロジーA／Inter Technology A
選択,2.0,F1527,地域再生システム論
選択,1.0,F1535,スポーツ実習ｂ
選択,1.0,F1544,臨海実習
選択,2.0,F1545,海外語学研修
選択,1.0,F1546,海外研修
選択,1.0,F1547,社会体験実習
選択,2.0,F1563,異文化交流Ｂ／Intercultural Exchange Study B
選択,2.0,F1577,地域インターンシップ（機械ロボット工学コース）／Local internship
選択,2.0,F1585,短期インターンシップ（機械ロボット工学コース）／short-term internship
選択,3.0,F1593,長期インターンシップ（機械ロボット工学コース）／Long-term internship
選択,1.0,F1111,英語コミュニケーションＩＩ（集中講義）／English Communication II
選択,2.0,F1575,地域インターンシップ（建築土木工学コース建築学トラック）／Local internship
選択,2.0,F1576,地域インターンシップ（建築土木工学コース土木工学トラック）／Local internship
選択,2.0,F1578,地域インターンシップ（航空宇宙工学コース）／Local internship
選択,2.0,F1579,地域インターンシップ（電気電子工学コース）／Local internship
選択,2.0,F1580,地域インターンシップ（物理物質システムコース）／Local internship
選択,2.0,F1581,地域インターンシップ（化学生物システムコース）／Local internship
選択,2.0,F1582,地域インターンシップ（数理情報システムコース）／Local internship
選択,2.0,F1583,短期インターンシップ（建築土木工学コース建築学トラック）／short-term internship
選択,2.0,F1584,短期インターンシップ（建築土木工学コース土木工学トラック）／short-term internship
選択,2.0,F1586,短期インターンシップ（航空宇宙工学コース）／short-term internship
選択,2.0,F1587,短期インターンシップ（電気電子工学コース）／short-term internship
選択,2.0,F1588,短期インターンシップ（物理物質システムコース）／short-term internship
選択,2.0,F1589,短期インターンシップ（化学生物システムコース）／short-term internship
選択,2.0,F1590,短期インターンシップ（数理情報システムコース）／short-term internship
選択,3.0,F1591,長期インターンシップ（建築土木工学コース建築学トラック）／Long-term internship
選択,3.0,F1592,長期インターンシップ（建築土木工学コース土木工学トラック）／Long-term internship
選択,3.0,F1594,長期インターンシップ（航空宇宙工学コース）／Long-term internship
選択,3.0,F1595,長期インターンシップ（電気電子工学コース）／Long-term internship
選択,3.0,F1596,長期インターンシップ（物理物質システムコース）／Long-term internship
選択,3.0,F1597,長期インターンシップ（化学生物システムコース）／Long-term internship
選択,3.0,F1598,長期インターンシップ（数理情報システムコース）／Long-term internship
,,F1017z,
必修,1.0,F1023,英語リーディング演習Ａ（Gクラス）／English Reading Seminar A
必修,1.0,F1024,英語リーディング演習Ａ（Hクラス）／English Reading Seminar A
必修,1.0,F1025,英語リーディング演習Ａ（Iクラス）／English Reading Seminar A
必修,1.0,F1026,英語リーディング演習Ａ（Jクラス）／English Reading Seminar A
必修,1.0,F1027,英語リーディング演習Ａ（Kクラス）／English Reading Seminar A
必修,1.0,F1028,英語リーディング演習Ａ（Lクラス）／English Reading Seminar A
選択,2.0,F1518,運動の科学（システム理化学科）
選択,2.0,F1520,経済事情（システム理化学科）
選択,1.0,F1536,スポーツ実習ｃ（Ａクラス）
必修,1.0,F1103,英語総合演習（Qクラス）／Comprehensive English Seminar
必修,1.0,F1104,英語総合演習（Rクラス）／Comprehensive English Seminar
必修,1.0,F1105,英語総合演習（Sクラス）／Comprehensive English Seminar
必修,1,F1113,英語総合演習（Uクラス）／Comprehensive English Seminar
選択,1.0,F1538,スポーツ実習ｃ（Cクラス）
必修,1.0,F1091,英語総合演習（Eクラス）／Comprehensive English Seminar
必修,1.0,F1092,英語総合演習（Fクラス）／Comprehensive English Seminar
必修,1.0,F1093,英語総合演習（Gクラス）／Comprehensive English Seminar
必修,1.0,F1094,英語総合演習（Hクラス）／Comprehensive English Seminar
選択,1.0,F1539,スポーツ実習ｃ（Dクラス）
選択,1.0,F1553,日本語Ｂ-２
選択,1.0,F1537,スポーツ実習ｃ（Bクラス）
必修,1.0,F1095,英語総合演習（Iクラス）／Comprehensive English Seminar
必修,1.0,F1096,英語総合演習（Jクラス）／Comprehensive English Seminar
必修,1.0,F1097,英語総合演習（Kクラス）／Comprehensive English Seminar
必修,1,F1112,英語総合演習（Tクラス）／Comprehensive English Seminar
選択,1.0,F1525,ドイツの文化
選択,1.0,F1526,中国の文化
選択,1.0,F1540,スポーツ実習ｃ（Eクラス）
選択,2.0,F1574,キャリアデザイン（システム理科）
選択,1.0,F1046,中国語（Eクラス）／Chinese
選択,1.0,F1541,スポーツ実習ｃ（Fクラス）
選択,2.0,F1564,キャリアデザイン（創造工学科）
選択,1.0,F1039,ドイツ語（Eクラス）／German
必修,1.0,F1098,英語総合演習（Lクラス）／Comprehensive English Seminar
必修,1.0,F1099,英語総合演習（Mクラス）／Comprehensive English Seminar
必修,1.0,F1100,英語総合演習（Nクラス）／Comprehensive English Seminar
必修,1.0,F1101,英語総合演習（Oクラス）／Comprehensive English Seminar
必修,1.0,F1102,英語総合演習（Pクラス）／Comprehensive English Seminar
選択,1.0,F1542,スポーツ実習ｃ（Gクラス）
選択,1.0,F1552,日本語Ａ-２
選択,2.0,F1510,日本の憲法（システム理化学科）／Japanese Constitutional Law
選択,2.0,F1512,現代社会論（システム理化学科）
選択,2.0,F1514,現代民主主義論（システム理化学科）
選択,2.0,F1516,現代心理学（システム理化学科）
必修,1.0,F1032,ＴＯＥＩＣ英語演習Ⅰ（Ｄクラス）／TOEIC English Ⅰ
必修,1.0,F1033,ＴＯＥＩＣ英語演習Ⅰ（Ｅクラス）／TOEIC English Ⅰ
必修,1.0,F1034,ＴＯＥＩＣ英語演習Ⅰ（Ｆクラス）／TOEIC English Ⅰ
選択,2.0,F1513,現代民主主義論（創造工学科）
選択,2.0,F1515,現代心理学（創造工学科）
選択,2.0,F1509,日本の憲法（創造工学科）／Japanese Constitutional Law
選択,2.0,F1511,現代社会論（創造工学科）
選択,1.0,F1041,ドイツ語（Gクラス）／German
選択,1.0,F1048,中国語（Gクラス）／Chinese
必修,1.0,F1079,英語コミュニケーションⅠ（Ｓクラス）／English Communication I
